Energy Burden (% income),Avg. Annual Energy Cost ($),Total Households,Household Income,Black/ African American (% pop.),American Indian/ Native Alaskan (% pop.),Asian (% pop.),Native Hawaiian/ Other Pacific Islander (% pop.),White Hispanic or Latino (% pop.),White Non-Hispanic or Latino (% pop.),Two or More Races (% pop.),Other Races (% pop.),Less Than High School (% pop.),High School (% pop.),Associates or Some College (% pop.),Bachelors or Higher (% pop.)
2,2357,1637,135883,14,2,1,0,9,58,12,3,1,14,35,50
2,2363,2298,120643,5,1,6,0,12,69,4,4,3,11,37,48
2,2386,1588,138191,7,1,4,0,8,74,2,4,6,17,35,43
2,2534,1586,162952,13,0,17,0,5,62,1,1,0,1,20,79
2,2427,676,128664,8,1,19,0,3,66,0,4,0,19,33,49
1,2717,1546,220788,10,0,22,0,7,58,1,3,5,6,21,68
1,2685,1022,186571,12,1,29,0,2,50,7,0,4,7,13,76
2,2715,1071,170516,6,2,29,0,15,43,5,0,11,4,20,65
2,2498,1861,153421,16,0,29,0,1,52,2,0,0,17,31,52
2,2558,1767,140726,16,1,7,0,18,48,10,0,6,6,37,52
3,2454,1177,95522,12,0,3,0,23,52,3,7,17,26,25,32
2,2557,1382,145624,6,0,45,0,7,39,4,0,6,22,19,54
2,2460,1034,137487,15,0,64,0,2,16,1,2,6,8,26,60
2,2960,1086,162233,3,0,21,0,9,66,1,0,0,6,13,81
2,2521,1695,162420,14,0,16,0,4,63,2,0,1,10,29,60
1,2202,1578,168753,11,0,14,0,7,63,2,4,5,7,20,68
2,2606,1025,143194,10,0,23,0,4,60,2,1,3,12,17,67
2,2624,1681,157409,19,1,19,0,3,51,4,2,2,9,24,64
2,2035,2151,126326,13,0,3,0,3,76,4,0,0,10,29,60
2,2533,2051,125889,32,0,14,0,9,38,4,4,4,7,25,64
2,2586,2113,165176,1,0,13,0,10,61,14,1,0,4,11,85
1,2237,2237,176679,9,0,18,0,2,70,1,0,12,5,30,53
1,2071,3077,197015,9,0,44,0,1,41,6,1,0,4,21,75
1,2285,1552,189751,3,0,35,0,3,55,3,2,0,4,14,81
1,2253,1807,207724,0,0,39,0,6,51,5,0,0,0,6,94
2,2741,1576,150567,2,1,2,0,6,84,2,4,0,7,24,69
2,2244,1451,110646,0,1,2,0,1,96,1,0,1,4,33,62
2,2717,1096,153967,11,0,32,0,10,44,1,1,0,4,18,78
2,2253,1557,115715,9,0,12,0,1,48,25,4,1,14,43,42
2,2523,1103,109456,6,0,9,0,7,65,12,2,0,4,34,63
2,2343,1156,137542,18,0,7,0,6,64,2,4,2,23,24,52
2,2374,1764,125126,8,0,6,0,7,69,9,2,3,11,32,54
2,2276,2241,111703,14,0,8,0,9,65,4,0,5,11,21,63
1,1514,2742,116269,8,0,12,0,10,65,3,2,3,11,25,61
2,1995,1959,107495,8,1,12,0,7,69,3,1,5,21,28,46
2,2368,1311,151107,8,0,22,0,15,44,6,5,4,5,25,66
